"store","websites","attribute_set","type","category_ids","sku","has_options","manufacturer","color","status","is_recurring","visibility","enable_googlecheckout","tax_class_id","featured","size","age","ebizmarts_mark_visited","description","short_description","meta_keyword","custom_layout_update","faq","material","warnings","miniblog","washcareinstructions","cost","weight","special_price","price","msrp","name","image","small_image","thumbnail","url_key","url_path","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","dimension","gender","import_tax","hs_code","amazon_avg_rating","amazon_review_count","awards","meta_title","meta_description","custom_design","gr_ean","gift_message_available","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","gr_valid_through","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","gallery","sku_type","weight_type","price_type","price_view","shipment_type"
"english","base","Default","simple","11,20,24,30,31,42,45,54,70","1PcRmpr-BluStrp-6mo-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","3-6個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-6","under-the-nile-29.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","女","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","16.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,24,30,31,42,45,54,70,20,29","SST-GrlDot-6mo-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","3-6個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3-6","under-the-nile-3-1373.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","女","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,20,24,29,30,31,42,45,54,70","SST-ByDot-6mo-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","3-6個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3-6","under-the-nile-3-1375.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","男","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,30,42,45,54,70","FP-BLUE-6MO-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","3-6個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3-6","under-the-nile-3-1371.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","男","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,20,24,29,30,31,42,45,54,70","SST-GrlDot-3mo-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","新生到3個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3-6","under-the-nile-3-1374.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","女","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","5.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,30,42,45,54,31,70","FtyBoyStrp-3mo-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","新生到3個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3","under-the-nile-26.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","男","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,30,42,45,54,24,31,70","FtyBoyStrp-6mo-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","3-6個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3-6","under-the-nile-3-1372.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","男","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","2013-10-29 00:00:00","2013-11-09 00:00:00","","","","6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,30,42,45,54,24,70","FP-BLUE-3MO-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","新生到3個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3","under-the-nile-25.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","男","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,30,42,45,54,31,70","FP-BLUSH-6MO-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","3-6個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3-6","under-the-nile-3-1370.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","女","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
"english","base","Default","simple","11,30,42,45,54,20,31,70","FP-WHT-3MO-UN","0","Under The Nile","","Disabled","No","Catalog, Search","Yes","None","No","","新生到3個月","No","","","","","","","","","可洗衣機洗滌,低溫烘乾","","1.0000","1089.0000","890.0000","778.0000","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","/i/2/i2-819-footie-ice-blue_1200x1200.jpg","under-the-nile-3","under-the-nile-23.html","No layout updates","Block after Info Column","","","","China","Use config","Use config","","女","12.0%","","","","","","","","","No","2013-08-28 00:00:00","","","","","","","6.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","1","simple","","","","","","","",""
