"sku","price","cost","special_price","special_from_date","special_to_date","max_sale_qty","import_tax","hs_code"
"MBB1004-MIXIE",730,313.5,,,,"0.0000","5.0%",
"MBB1008-MIXIE",850,371,,,,"0.0000","5.0%",
"MMYellow-MM",769,322,,,,"0.0000",5.00%,
"MMPink-MM",769,322,,,,"0.0000",5.00%,
"MMBlue-MM",769,322,,,,"0.0000",5.00%,
"MMGREEN-MM",769,322,,,,"0.0000",5.00%,
"9082-LEARN",,,,,,"0.0000","0.0%",
