"sku","price","cost","special_price","special_from_date","special_to_date","max_sale_qty","import_tax","hs_code"
"MBB1004-MIXIE",750,313.5,,,,"0.0000","5.0%",
"MBB1008-MIXIE",880,371,,,,"0.0000","5.0%",
"MMYellow-MM",799,322,,,,"0.0000",5.00%,
"MMPink-MM",799,322,,,,"0.0000",5.00%,
"MMBlue-MM",799,322,,,,"0.0000",5.00%,
"MMGREEN-MM",799,322,,,,"0.0000",5.00%,
