"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","35NFE01S-EdgePub","Tilt N' Teach Numbers and Shapes","3 to 7 yrs",,,,,,,"Tilt N' Teach Numbers and Shapes",,
"english","base","Default","simple","36TFE01S-EdgePub","Tilt N' Teach Alphabet","3 to 7 yrs",,,,,,,"Tilt N' Teach Alphabet",,
"english","base","Default","simple","36WFC01S-EdgePub","Stick N' Spell Spelling Cards","3 to 7 yrs",,,,,,,"Stick N' Spell Spelling Cards",,
"english","base","Default","simple","47AFW01S-EdgePub","Add and Minus Disc Cards","3 to 7 yrs",,,,,,,"Add and Minus Disc Cards",,
