"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","msrp_enabled","msrp_display_actual_price_type","options_container","url_path","age","gallery","dimension","country_of_manufacture","price","special_price","cost","weight","msrp","color","visibility","featured","enable_googlecheckout","is_recurring","status","manufacturer","tax_class_id","description","short_description","faq","material","warnings","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple",,"35NFE01S-EdgePub",0,"繽紛數目圖片閃卡","Edgeucational-publishing-tilt-n-teach-numbers-and-shapes","Use config","Use config","Block after Info Column","Edgeucational-publishing-tilt-n-teach-numbers-and-shapes.html",,,,"South Korea",125,,57,1,,,"Catalog, Search","No","Yes","No","Enabled","Edgeucational Publishing","None","@各種數字閃卡，供孩子建立數字印象瞭解數目。
@可愛的圖片讓孩子學習不孤單，加深孩子記憶。
@可重複使用，且能增加親子互動，可自行設計各種教學方式。","煩惱怎麼跟孩子說明每個數字的概念嗎？拿出繽紛數字閃卡，
幫助你的孩子對數字/數目建立基礎吧！
透過可愛的圖案設計，不僅能夠與孩子互動，瞭解數字順序。
也能夠使用圖片編成一個與數字有關的故事，幫助孩子提升專注力，邊玩邊學習提升親子教學樂趣！",,,,24,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,0,1,"繽紛數目圖片閃卡",0,"simple",,
"admin","base","Default","simple",,"36TFE01S-EdgePub",0,"可愛字母學習閃卡","Edgeucational-publishing-tilt-n-teach-alphabet","Use config","Use config","Block after Info Column","Edgeucational-publishing-tilt-n-teach-alphabet.html",,,,"South Korea",125,,57,1,,,"Catalog, Search","No","Yes","No","Enabled","Edgeucational Publishing","None","26字母閃卡，幫助孩子學習字母且記憶單字。
可愛的圖片讓孩子學習不孤單，加深孩子記憶。
可重複使用，且能增加親子互動，可自行設計各種教學方式。","不讓你的孩子呆板的學習字母！26字母閃卡，每個閃卡上均有字母開得單字，幫助孩子能透過彩色繽紛的圖片，來認識26字母。順便學習各種基本單字，培養孩子識字母能力，讓孩子的學習不無聊，使用方便且能透過互動方式，更加強孩子的學習意願喲！",,,,24,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"可愛字母學習閃卡",0,"simple",,
"admin","base","Default","simple",,"36WFC01S-EdgePub",0,"逗趣字母拼字閃卡","Edgeucational-publishing-stick-n-spell-spelling-cards","Use config","Use config","Block after Info Column","Edgeucational-publishing-stick-n-spell-spelling-cards.html",,,,"South Korea",125,,57,1,,,"Catalog, Search","No","Yes","No","Enabled","Edgeucational Publishing","None","@各種基本單字，供孩子學習拼字記憶單字。
@可愛的圖片讓孩子學習不孤單，加深孩子記憶。
@可重複使用，且能增加親子互動，可自行設計各種教學方式。","怎麼幫助你的孩子在玩樂之中，記憶簡單單字？
逗趣閃卡透過有趣的互動方式，幫助孩子快速認識許多基本單字。
且透過可愛的圖案加強孩子的記憶，過程中培養孩子拼對字母的成就感。
若親子一同完成，絕對增加親子樂趣又富有學習成效！",,,,24,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"逗趣字母拼字閃卡",0,"simple",,
"admin","base","Default","simple",,"47AFW01S-EdgePub",0,"聰明數字運算轉盤","Edgeucational-publishing-add-and-minus-disc-cards","Use config","Use config","Block after Info Column","Edgeucational-publishing-add-and-minus-disc-cards.html",,,,"South Korea",125,,57,1,,,"Catalog, Search","No","Yes","No","Enabled","Edgeucational Publishing","None","@加減算式轉牌，幫助孩子學習運作更生動。
@增孩子成就感，激發孩子對數學運算的興趣。
@可重複使用，且能增加親子互動，可自行設計各種教學方式。","不用再害怕孩子的運算能力了！運算轉牌，
幫助孩子透過遊戲方式，建構起他們對運算的概念，
加減都在他們的掌握之中，可在遊戲中培養成就感。
進而對運算數字產生興趣，對加減法不再陌生，
也不在對算數式感到恐懼，越玩越上手，越玩越聰明！
幫助孩子循序漸進的成長，對數字有更熟練的思考邏輯！",,,,24,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"聰明數字運算轉盤",0,"simple",,
