"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","I2-821-306-NB-UN","Side Tie Layette Set, Hello Goodbye Print Blush, Newborn","Newborn",,,,,,,"Side Tie Layette Set, Hello Goodbye Print Blush, Newborn",1,"simple"
"english","base","Default","simple","I2-821-307-NB-UN","Side Tie Layette Set, Hello Goodbye Ice Blue, Newborn","Newborn",,,,,,,"Side Tie Layette Set, Hello Goodbye Ice Blue, Newborn",1,"simple"
"english","base","Default","simple","I2-822-306-NB-UN","Side Snap Baby Gown, Hello Goodbye Print Blush, Newborn","Newborn",,,,,,,"Side Snap Baby Gown, Hello Goodbye Print Blush, Newborn",1,"simple"
"english","base","Default","simple","I2-822-307-NB-UN","Side Snap Baby Gown, Hello Goodbye Ice Blue, Newborn","Newborn",,,,,,,"Side Snap Baby Gown, Hello Goodbye Ice Blue, Newborn",1,"simple"
"english","base","Default","simple","I2-819-306-NB-UN","Side Snap Footie, Hello Goodbye Print Blush, Newborn","Newborn",,,,,,,"Side Snap Footie, Hello Goodbye Print Blush, Newborn",1,"simple"
"english","base","Default","simple","I2-819-307-NB-UN","Side Snap Footie, Hello Goodbye Ice Blue, Newborn","Newborn",,,,,,,"Side Snap Footie, Hello Goodbye Ice Blue, Newborn",1,"simple"
"english","base","Default","simple","I20-776-273-BU-UN","Baker's Hat, Sage/Yellow Animal Print, NB-6m",,,,,,,,"Baker's Hat, Sage/Yellow Animal Print, NB-6m",1,"simple"
"english","base","Default","simple","I20-775-273-TG-UN","Side Tie Kimono with Two Ties, Sage/Yellow Animal Print, NB-3m",,,,,,,,"Side Tie Kimono with Two Ties, Sage/Yellow Animal Print, NB-3m",1,"simple"
"english","base","Default","simple","I20-713-273-TG-UN","Side Snap Shirt w/ Rolled Waist Pant, Sage/Yellow Animal Print, NB-3m",,,,,,,,"Side Snap Shirt w/ Rolled Waist Pant, Sage/Yellow Animal Print, NB-3m",1,"simple"
"english","base","Default","simple","I2-836-304-TG-UN","Zen Dress with Bloomer, Sherbet Stripe, 6-9m",,,,,,,,"Zen Dress with Bloomer, Sherbet Stripe, 6-9m",1,"simple"
"english","base","Default","simple","BBR-Navy9m-UN","s/s Babybody, Rugby Navy, 6-9m",,,,,,,,"s/s Babybody, Rugby Navy, 6-9m",1,"simple"
"english","base","Default","simple","BBR-Navy18m-UN","s/s Babybody, Rugby Navy, 12-18m",,,,,,,,"s/s Babybody, Rugby Navy, 12-18m",1,"simple"
"english","base","Default","simple","RWL-Navy-9mo-UN","Rolled Waist Leggings, Navy, 6-9m",,,,,,,,"Rolled Waist Leggings, Navy, 6-9m",1,"simple"
"english","base","Default","simple","RWL-Navy-18mo-UN","Rolled Waist Leggings, Navy, 12-18m",,,,,,,,"Rolled Waist Leggings, Navy, 12-18m",1,"simple"
"english","base","Default","simple","SH-Wht-12mo-UN","Sun Hat, Off-White, 3-12m",,,,,,,,"Sun Hat, Off-White, 3-12m",1,"simple"
"english","base","Default","simple","SH-Wht-18mo-UN","Sun Hat, Off-White, 12-18m",,,,,,,,"Sun Hat, Off-White, 12-18m",1,"simple"
"english","base","Default","simple","2PCPOPLINWHT-12M-UN","2pc. Poplin Set, Off White, 12m",,,,,,,,"2pc. Poplin Set, Off White, 12m",1,"simple"
"english","base","Default","simple","2PCPOPLINWHT-18M-UN","2pc. Poplin Set, Off White, 18m",,,,,,,,"2pc. Poplin Set, Off White, 18m",1,"simple"
"english","base","Default","simple","2PCPOPLINWHT-24M-UN","2pc. Poplin Set, Off White, 24m",,,,,,,,"2pc. Poplin Set, Off White, 24m",1,"simple"
"english","base","Default","simple","I10-816-305-TG-UN","Summer Romper, Floral Print Pink, 6-9m",,,,,,,,"Summer Romper, Floral Print Pink, 6-9m",1,"simple"
"english","base","Default","simple","RDBlmr-Wht-6mo-UN","Ruffle Dress with Bloomer, Off-White, 3-6m",,,,,,,,"Ruffle Dress with Bloomer, Off-White, 3-6m",1,"simple"
"english","base","Default","simple","RDBlmr-Wht-9mo-UN","Ruffle Dress with Bloomer, Off-White, 6-9m",,,,,,,,"Ruffle Dress with Bloomer, Off-White, 6-9m",1,"simple"
"english","base","Default","simple","SHFloral-Pnk-12mo-UN","Sun Hat, Floral Print Pink, 3-12m",,,,,,,,"Sun Hat, Floral Print Pink, 3-12m",1,"simple"
"english","base","Default","simple","SHFloral-Pnk-24mo-UN","Sun Hat, Floral Print Pink, 12-24m",,,,,,,,"Sun Hat, Floral Print Pink, 12-24m",1,"simple"
